index,name,time,rating,item,sentiment,source,어간,noun,v_ad,n_v_ad,review_sentence,replace_slang_sentence
2494,경쟁사,2023-04-12,4,식물영양제,부정,naver,"[('배송', 'Noun'), ('빠르다', 'Adjective'), ('문의', 'Noun'), ('답변', 'Noun'), ('빠르다', 'Adjective'), ('판매', 'Noun'), ('자', 'Suffix'), ('분', 'Noun'), ('이', 'Josa'), ('성실하다', 'Adjective'), ('느낌', 'Noun'), ('이', 'Josa'), ('오다', 'Verb')]","['배송', '문의', '답변', '판매자분', '성실', '느낌', '오네']","['빠르다', '빠르다', '성실하다', '오다']","['배송', '문의', '답변', '판매자분', '성실', '느낌', '오네', '빠르다', '빠르다', '성실하다', '오다']",배송 빠르고 문의 답변 빠르고 판매자분이 성실하다 느낌이 오네,배송 빠르고 문의 답변 빠르고 판매자분이 성실하다 느낌이 오네
2495,경쟁사,2023-04-12,4,식물영양제,부정,naver,"[('요', 'Modifier'), ('스포이드', 'Noun'), ('로', 'Josa'), ('계량', 'Noun'), ('하다', 'Verb'), ('넣다', 'Verb'), ('되다', 'Verb'), ('쉬다', 'Verb'), ('넣다', 'Verb'), ('있다', 'Adjective'), ('수경', 'Noun'), ('처음', 'Noun'), ('해보다', 'Verb'), ('딸기', 'Noun'), ('가', 'Josa'), ('잘', 'VerbPrefix'), ('크다', 'Verb'), ('하다', 'Verb')]","['요스포이드', '계량', '수경', '처음', '딸기']","['하다', '넣다', '되다', '쉬다', '넣다', '있다', '해보다', '크다', '하다']","['요스포이드', '계량', '수경', '처음', '딸기', '하다', '넣다', '되다', '쉬다', '넣다', '있다', '해보다', '크다', '하다']",요스포이드로 계량 해서 넣으면 되니 쉽게 넣을수 있고수경 처음 해보는데 딸기가 잘컸으면 합니다,요스포이드로 계량 해서 넣으면 되니 쉽게 넣을수 있고수경 처음 해보는데 딸기가 잘컸으면 합니다
2496,경쟁사,2023-04-12,4,식물영양제,부정,naver,"[('옆면', 'Noun'), ('시', 'Modifier'), ('비용', 'Noun'), ('으로', 'Josa'), ('사용', 'Noun'), ('하다', 'Verb'), ('있다', 'Adjective'), ('다양하다', 'Adjective'), ('써다', 'Verb'), ('보다', 'Verb'), ('겠다', 'Verb')]","['옆면', '시비용', '사용', '다양']","['하다', '있다', '다양하다', '써다', '보다', '겠다']","['옆면', '시비용', '사용', '다양', '하다', '있다', '다양하다', '써다', '보다', '겠다']",옆면 시비용으로 사용 할수고 있다니까 다양하게 써봐야 겠네요,옆면 시비용으로 사용 할수고 있다니까 다양하게 써봐야 겠네요
2525,경쟁사,2023-04-24,4,식물영양제,부정,naver,"[('물푸레', 'Noun'), ('나무', 'Noun'), ('좋다', 'Adjective'), ('하다', 'Verb'), ('구입', 'Noun'), ('하다', 'Verb'), ('열매', 'Noun'), ('가', 'Josa'), ('맛있다', 'Adjective'), ('수확', 'Noun'), ('되다', 'Verb'), ('믿다', 'Verb'), ('사용', 'Noun'), ('중', 'Suffix')]","['물푸레', '나무', '구입', '열매', '수확', '사용']","['좋다', '하다', '하다', '맛있다', '되다', '믿다']","['물푸레', '나무', '구입', '열매', '수확', '사용', '좋다', '하다', '하다', '맛있다', '되다', '믿다']",물푸레 좋다고 해서구입했는데 열매가 맛있게 수확된다고 믿고 사용중,물푸레 나무 좋다고 해서구입했는데 열매가 맛있게 수확된다고 믿고 사용중
2544,경쟁사,2023-04-24,4,식물영양제,부정,naver,"[('잘쓰다', 'Verb')]",[],['잘쓰다'],['잘쓰다'],잘쓰겠습니다,잘쓰겠습니다
2545,경쟁사,2023-04-24,4,식물영양제,부정,naver,"[('많이', 'Adverb'), ('파다', 'Verb')]",[],['파다'],['파다'],많이파세요,많이파세요
2550,경쟁사,2023-04-24,4,식물영양제,부정,naver,"[('베란다', 'Noun'), ('딸기', 'Noun'), ('영', 'Modifier'), ('먕', 'Noun'), ('제로', 'Noun'), ('구입', 'Noun'), ('하다', 'Verb')]","['베란다', '딸기영먕', '구입']",['하다'],"['베란다', '딸기영먕', '구입', '하다']",베란다 딸기영먕제로 구입했어요,베란다 딸기영먕제로 구입했어요
2556,경쟁사,2023-04-14,3,식물영양제,부정,naver,"[('사용', 'Noun'), ('해보다', 'Verb'), ('후기', 'Noun'), ('를', 'Josa'), ('남기다', 'Verb')]","['사용', '후기']","['해보다', '남기다']","['사용', '후기', '해보다', '남기다']",사용해보고 후기를 남겨야겠어요,사용해보고 후기를 남겨야겠어요
2557,경쟁사,2023-04-14,3,식물영양제,부정,naver,"[('아직', 'Adverb'), ('은', 'Noun'), ('자다', 'Verb'), ('모르다', 'Verb')]",[],"['자다', '모르다']","['자다', '모르다']",아직은 잘 모르겠네요,아직은 잘 모르겠네요
2559,경쟁사,2023-04-19,4,식물영양제,부정,naver,"[('사용', 'Noun'), ('전', 'Noun'), ('이다', 'Adjective')]","['사용', '전']",['이다'],"['사용', '전', '이다']",사용 전 입니다,사용 전 입니다
2560,경쟁사,2023-04-19,4,식물영양제,부정,naver,"[('추후', 'Noun'), ('다시', 'Noun'), ('올리다', 'Verb')]",['추후'],['올리다'],"['추후', '올리다']",추후 다시 올리겠습니다,추후 다시 올리겠습니다
2575,경쟁사,2023-04-17,4,식물영양제,부정,naver,"[('상품', 'Noun'), ('배송', 'Noun'), ('에', 'Josa'), ('차질', 'Noun'), ('이', 'Josa'), ('있다', 'Adjective'), ('자다', 'Verb'), ('받다', 'Verb')]","['상품', '배송', '차질']","['있다', '자다', '받다']","['상품', '배송', '차질', '있다', '자다', '받다']",상품 배송에 차질이 있었지만 잘 받았습니다,상품 배송에 차질이 있었지만 잘 받았습니다
2582,경쟁사,2023-04-08,4,식물영양제,부정,naver,"[('리뷰', 'Noun'), ('보고', 'Noun'), ('구매', 'Noun'), ('하다', 'Verb'), ('ㅡ', 'KoreanParticle')]","['리뷰', '구매']",['하다'],"['리뷰', '구매', '하다']",리뷰보고 구매했구요ㅡ,리뷰보고 구매했구요ㅡ
2583,경쟁사,2023-04-08,4,식물영양제,부정,naver,"[('한번', 'Noun'), ('시비', 'Noun'), ('해봤다', 'Verb'), ('이상은', 'Noun'), ('없이', 'Adverb'), ('잘', 'VerbPrefix'), ('자라다', 'Verb'), ('있다', 'Adjective')]","['시비', '이상']","['해봤다', '자라다', '있다']","['시비', '이상', '해봤다', '자라다', '있다']",한번 시비해봤는데 이상은 없이 잘자라구 있어요,한번 시비해봤는데 이상은 없이 잘자라구 있어요
2587,경쟁사,2023-04-15,4,식물영양제,부정,naver,"[('빠르다', 'Adjective'), ('배송', 'Noun'), ('감사하다', 'Verb')]","['배송', '감사']","['빠르다', '감사하다']","['배송', '감사', '빠르다', '감사하다']",빠른배송 감사합니다,빠른배송 감사합니다
2588,경쟁사,2023-04-15,4,식물영양제,부정,naver,"[('빠르다', 'Adjective'), ('배송', 'Noun'), ('감사하다', 'Verb')]","['배송', '감사']","['빠르다', '감사하다']","['배송', '감사', '빠르다', '감사하다']",빠른배송 감사합니다,빠른배송 감사합니다
2592,경쟁사,2023-04-14,4,식물영양제,부정,naver,"[('배송', 'Noun'), ('빠르다', 'Adjective'), ('토마토', 'Noun'), ('자다', 'Verb'), ('크다', 'Verb'), ('기대하다', 'Adjective')]","['배송', '토마토', '기대']","['빠르다', '자다', '크다', '기대하다']","['배송', '토마토', '기대', '빠르다', '자다', '크다', '기대하다']",배송 빠르고 토마토 잘 크길 기대해요,배송 빠르고 토마토 잘 크길 기대해요
2616,경쟁사,2023-03-27,4,식물영양제,부정,naver,"[('배송', 'Noun'), ('빠르다', 'Adjective'), ('제품', 'Noun'), ('포장', 'Noun'), ('좋다', 'Adjective')]","['배송', '제품', '포장']","['빠르다', '좋다']","['배송', '제품', '포장', '빠르다', '좋다']",배송 빠르고 제품 포장 좋아요,배송 빠르고 제품 포장 좋아요
2617,경쟁사,2023-03-27,4,식물영양제,부정,naver,"[('수경', 'Noun'), ('재배', 'Noun'), ('에', 'Josa'), ('효과', 'Noun'), ('기대', 'Noun'), ('하다', 'Verb')]","['수경', '재배', '효과', '기대']",['하다'],"['수경', '재배', '효과', '기대', '하다']",수경 재배에 효과 기대 합니다,수경 재배에 효과 기대 합니다
2620,경쟁사,2023-04-17,4,식물영양제,부정,naver,"[('자다', 'Verb'), ('받다', 'Verb')]",[],"['자다', '받다']","['자다', '받다']",잘 받았습니다,잘 받았습니다
2623,경쟁사,2023-04-02,4,식물영양제,부정,naver,"[('딸기', 'Noun'), ('모종', 'Noun'), ('심다', 'Verb'), ('주문', 'Noun'), ('하다', 'Verb')]","['딸기모', '주문']","['심다', '하다']","['딸기모', '주문', '심다', '하다']",딸기모종 심으려고 주문했어요~,딸기모종 심으려고 주문했어요 
2624,경쟁사,2023-04-02,4,식물영양제,부정,naver,"[('꼼꼼하다', 'Adjective'), ('포장', 'Noun'), ('해주다', 'Verb'), ('감사하다', 'Verb')]","['포장', '감사']","['꼼꼼하다', '해주다', '감사하다']","['포장', '감사', '꼼꼼하다', '해주다', '감사하다']",꼼꼼하게 포장해주셔서 감사해요,꼼꼼하게 포장해주셔서 감사해요
