index,name,time,rating,item,sentiment,source,어간,noun,v_ad,n_v_ad,review_sentence,replace_slang_sentence
12,꽃피우는시간,2022-09-05,4,식물영양제,부정,coupang,"[('다육식물', 'Noun'), ('영', 'Modifier'), ('양제', 'Noun'), ('구매', 'Noun'), ('함', 'Noun'), ('좋다', 'Adjective'), ('믿다', 'Verb'), ('다육식물', 'Noun'), ('애', 'Noun'), ('들', 'Suffix'), ('영양', 'Noun'), ('제로', 'Noun'), ('구매', 'Noun'), ('하다', 'Verb')]","['다육식물', '영양제', '구매', '다육식물', '애', '영양제', '구매']","['좋다', '믿다', '하다']","['다육식물', '영양제', '구매', '다육식물', '애', '영양제', '구매', '좋다', '믿다', '하다']",다유기 영양제 구매함 좋을거라 믿으며~~ 다유기 애들 영양제로 구매했네요,다육식물 영양제 구매함 좋을거라 믿으며 다육식물 애들 영양제로 구매했네요
13,꽃피우는시간,2022-09-05,4,식물영양제,부정,coupang,"[('찬', 'Noun'), ('바람', 'Noun'), ('이', 'Josa'), ('불다', 'Verb'), ('환절기', 'Noun'), ('가', 'Josa'), ('오니', 'Noun'), ('햇볕', 'Noun'), ('도', 'Josa'), ('여름', 'Noun'), ('보단', 'Josa'), ('덜', 'Noun'), ('맞다', 'Verb'), ('추다', 'Verb'), ('날', 'Noun'), ('을', 'Josa'), ('위해', 'Noun'), ('영양', 'Noun'), ('듬뿍', 'Noun'), ('주어', 'Noun'), ('추다', 'Verb'), ('날다', 'Verb'), ('이기다', 'Verb'), ('의미', 'Noun'), ('로', 'Josa'), ('구매', 'Noun'), ('꼭', 'Noun'), ('좋다', 'Adjective'), ('영양', 'Noun'), ('으로', 'Josa'), ('건강하다', 'Adjective'), ('주다', 'Verb'), ('바', 'Noun'), ('래', 'Josa'), ('보다', 'Verb')]","['찬바람', '환절기', '햇볕', '여름', '보', '추운날', '영양', '운날', '의미', '구매', '은영양', '건강', '바']","['불다', '맞다', '추다', '추다', '날다', '이기다', '좋다', '건강하다', '주다', '보다']","['찬바람', '환절기', '햇볕', '여름', '보', '추운날', '영양', '운날', '의미', '구매', '은영양', '건강', '바', '불다', '맞다', '추다', '추다', '날다', '이기다', '좋다', '건강하다', '주다', '보다']","찬바람이 부는 환절기가 오니햇볕도 여름보단 덜 맞을거니,추운날을 위해 영양듬뿍 주어 추운날잘 이겨내라는 의미로 구매꼭~~~좋은영양으로 건강해 주길 바래봅니다",찬바람이 부는 환절기가 오니햇볕도 여름보단 덜 맞을거니 추운날을 위해 영양듬뿍 주어 추운날잘 이겨내라는 의미로 구매꼭 좋은영양으로 건강해 주길 바래봅니다
155,꽃피우는시간,2023-02-05,3,식물영양제,부정,coupang,"[('농약', 'Noun'), ('냄새', 'Noun'), ('편백', 'Noun'), ('향', 'Noun'), ('이라고', 'Josa'), ('적히다', 'Verb'), ('농약', 'Noun'), ('냄새', 'Noun'), ('에', 'Josa'), ('가깝다', 'Adjective'), ('않다', 'Verb')]","['농약', '냄새', '편백향', '농약', '냄새']","['적히다', '가깝다', '않다']","['농약', '냄새', '편백향', '농약', '냄새', '적히다', '가깝다', '않다']",농약냄새 편백향이라고 적혀있지만 농약냄새에 가깝지 않나싶어요,농약냄새 편백향이라고 적혀있지만 농약냄새에 가깝지 않나싶어요
156,꽃피우는시간,2023-02-05,3,식물영양제,부정,coupang,"[('효과', 'Noun'), ('는', 'Josa'), ('아직', 'Adverb'), ('모르다', 'Verb'), ('일단', 'Noun'), ('다음', 'Noun'), ('부터', 'Josa'), ('사용', 'Noun'), ('하다', 'Verb'), ('땐', 'Noun'), ('마당', 'Noun'), ('가다', 'Verb'), ('뿌리다', 'Verb'), ('야하다', 'Adjective'), ('거', 'Noun'), ('같다', 'Adjective')]","['효과', '다음', '사용', '때', '마당가']","['모르다', '하다', '가다', '뿌리다', '야하다', '같다']","['효과', '다음', '사용', '때', '마당가', '모르다', '하다', '가다', '뿌리다', '야하다', '같다']",효과는 아직 모르겠지만 일단 다음부터 사용할 땐 마당가서 뿌려야할 거 같아요,효과는 아직 모르겠지만 일단 다음부터 사용할 땐 마당가서 뿌려야할 거 같아요
157,꽃피우는시간,2022-04-09,4,식물영양제,부정,coupang,"[('아직', 'Adverb'), ('효과', 'Noun'), ('는', 'Josa'), ('모르다', 'Verb'), ('3회', 'Number'), ('분무', 'Noun'), ('해보다', 'Verb')]","['효과', '분무']","['모르다', '해보다']","['효과', '분무', '모르다', '해보다']",아직 효과는 모르겠습니다 3회 분무 해봐서요,아직 효과는 모르겠습니다 3회 분무 해봐서요
158,꽃피우는시간,2022-04-09,4,식물영양제,부정,coupang,"[('그런데', 'Conjunction'), ('분무', 'Noun'), ('하다', 'Verb'), ('때', 'Noun'), ('마다', 'Josa'), ('불편하다', 'Adjective'), ('향', 'Noun'), ('이', 'Josa'), ('한동안', 'Adverb'), ('지속', 'Noun'), ('되다', 'Verb')]","['분무', '때', '불편', '향', '한동안', '지속']","['하다', '불편하다', '되다']","['분무', '때', '불편', '향', '한동안', '지속', '하다', '불편하다', '되다']",그런데 분무할때마다 불편한 향이 한동안 지속 됩니다,그런데 분무할때마다 불편한 향이 한동안 지속 됩니다
159,꽃피우는시간,2022-04-09,4,식물영양제,부정,coupang,"[('무향', 'Noun'), ('으로', 'Josa'), ('만들다', 'Verb'), ('주다', 'Verb'), ('좋다', 'Adjective'), ('것', 'Noun'), ('을', 'Josa'), ('약', 'Modifier'), ('냄새', 'Noun'), ('가', 'Josa'), ('두렵다', 'Adjective'), ('분무', 'Noun'), ('를', 'Josa'), ('머뭇거리다', 'Verb'), ('하다', 'Verb')]","['무향', '약냄새', '분무']","['만들다', '주다', '좋다', '두렵다', '머뭇거리다', '하다']","['무향', '약냄새', '분무', '만들다', '주다', '좋다', '두렵다', '머뭇거리다', '하다']",무향으로 만들어 주셨으면 좋았을 것을 약냄새가 두려워서 분무를 머뭇거리게 합니다,무향으로 만들어 주셨으면 좋았을 것을 약냄새가 두려워서 분무를 머뭇거리게 합니다
160,꽃피우는시간,2022-04-09,4,식물영양제,부정,coupang,"[('실내', 'Noun'), ('아파트', 'Noun'), ('에서', 'Josa'), ('키우다', 'Verb'), ('때', 'Noun'), ('팍팍', 'Adverb'), ('뿌리다', 'Verb'), ('하다', 'Verb'), ('이런', 'Modifier'), ('향', 'Noun'), ('을', 'Josa'), ('없애다', 'Verb'), ('못', 'VerbPrefix'), ('하다', 'Verb'), ('재다', 'Verb'), ('매다', 'Verb'), ('없다', 'Adjective'), ('듯', 'Noun'), ('하다', 'Verb')]","['실내', '아파트', '때', '향', '재구매']","['키우다', '뿌리다', '하다', '없애다', '하다', '재다', '매다', '없다', '하다']","['실내', '아파트', '때', '향', '재구매', '키우다', '뿌리다', '하다', '없애다', '하다', '재다', '매다', '없다', '하다']",실내 아파트에서 키울때 팍팍 뿌려주라고 하시고 이런향을 없애지 못하시면 재구매는 없을 듯 합니다,실내 아파트에서 키울때 팍팍 뿌려주라고 하시고 이런향을 없애지 못하시면 재구매는 없을 듯 합니다
161,꽃피우는시간,2022-04-09,4,식물영양제,부정,coupang,"[('리', 'Noun'), ('필로', 'Noun'), ('만', 'Josa'), ('2000', 'Number'), ('미리', 'Noun'), ('구매', 'Noun'), ('하다', 'Verb'), ('뿌리', 'Noun'), ('고', 'Josa'), ('나다', 'Verb'), ('농약', 'Noun'), ('을', 'Josa'), ('아주', 'Noun'), ('희다', 'Adjective'), ('석', 'Noun'), ('한', 'Josa'), ('냄새', 'Noun'), ('처럼', 'Josa'), ('ㅠㅡㅜ', 'KoreanParticle'), ('나다', 'Verb'), ('보다', 'Verb'), ('바닥', 'Noun'), ('도', 'Josa'), ('찝찝하다', 'Adjective'), ('벽면', 'Noun'), ('도', 'Josa'), ('찝찝하다', 'Adjective'), ('것', 'Noun'), ('도', 'Josa'), ('사실', 'Noun'), ('이다', 'Adjective')]","['리필', '미', '구매', '농약', '냄새', '나', '바닥', '벽면']","['하다', '나다', '희다', '나다', '보다', '찝찝하다', '찝찝하다', '이다']","['리필', '미', '구매', '농약', '냄새', '나', '바닥', '벽면', '하다', '나다', '희다', '나다', '보다', '찝찝하다', '찝찝하다', '이다']",리필로만 2000미리 구매했는데뿌리고 나면 농약을 아주 희석한 냄새처럼 ㅠㅡㅜ 나다보니 바닥도 찝찝하고 벽면도 찝찝한 것도 사실 입니다,리필로만 2000미리 구매했는데뿌리고 나면 농약을 아주 희석한 냄새처럼 ㅠㅡㅜ 나다보니 바닥도 찝찝하고 벽면도 찝찝한 것도 사실 입니다
162,꽃피우는시간,2022-04-09,4,식물영양제,부정,coupang,"[('여태', 'Noun'), ('벌레', 'Noun'), ('죽이다', 'Verb'), ('약', 'Noun'), ('빼다', 'Verb'), ('이렇다', 'Adjective'), ('향', 'Noun'), ('나', 'Noun'), ('는', 'Josa'), ('영', 'Modifier'), ('양제', 'Noun'), ('는', 'Josa'), ('처음', 'Noun'), ('이라', 'Josa'), ('적응', 'Noun'), ('이', 'Josa'), ('힘드다', 'Adjective')]","['벌레', '약', '향', '영양제', '처음', '적응']","['죽이다', '빼다', '이렇다', '힘드다']","['벌레', '약', '향', '영양제', '처음', '적응', '죽이다', '빼다', '이렇다', '힘드다']",여태 벌레 죽이는 약 빼고 이런 향 나는 영양제는 처음이라 적응이 힘드네요,여태 벌레 죽이는 약 빼고 이런 향 나는 영양제는 처음이라 적응이 힘드네요
