index,name,time,rating,item,sentiment,sentiment_score,source,어간,noun,v_ad,n_v_ad,review_sentence,replace_slang_sentence
14,꽃피우는시간,2022-09-05,4,식물영양제,부정,0.5488502949476242,coupang,"[('다육식물', 'Noun'), ('이', 'Josa'), ('영양제', 'Noun'), ('구매', 'Noun'), ('함', 'Noun'), ('좋다', 'Adjective'), ('거', 'Noun'), ('라', 'Josa'), ('믿다', 'Verb'), ('다육식물', 'Noun'), ('이', 'Josa'), ('애', 'Noun'), ('들', 'Suffix'), ('영양제', 'Noun'), ('로', 'Josa'), ('구매', 'Noun'), ('하다', 'Verb')]","['다육식물', '영양제', '구매', '함', '거', '다육식물', '애', '영양제', '구매']","['좋다', '믿다', '하다']","['다육식물', '영양제', '구매', '함', '좋다', '거', '믿다', '다육식물', '애', '영양제', '구매', '하다']",다육식물이 영양제 구매함 좋을 거라 믿으며 다육식물이 애들 영양제로 구매했네요,다육식물 영양제 구매 함 좋다 거 믿다 다육식물 애 들 영양제 구매 하다
15,꽃피우는시간,2022-09-05,4,식물영양제,부정,0.5479628652334213,coupang,"[('찬', 'Noun'), ('바람', 'Noun'), ('이', 'Josa'), ('불다', 'Verb'), ('환절기', 'Noun'), ('가', 'Josa'), ('오니', 'Noun'), ('햇볕', 'Noun'), ('도', 'Josa'), ('여름', 'Noun'), ('보단', 'Josa'), ('덜', 'Noun'), ('맞다', 'Verb'), ('거니', 'Eomi'), ('추다', 'Verb'), ('날', 'Noun'), ('을', 'Josa'), ('위해', 'Noun'), ('영양', 'Noun'), ('듬뿍', 'Noun'), ('주어', 'Noun'), ('추다', 'Verb'), ('날다', 'Verb'), ('이기다', 'Verb'), ('의미', 'Noun'), ('로', 'Josa'), ('구매', 'Noun'), ('꼭', 'Noun'), ('좋다', 'Adjective'), ('영양', 'Noun'), ('으로', 'Josa'), ('건강하다', 'Adjective'), ('주다', 'Verb'), ('바', 'Noun'), ('래', 'Josa'), ('보다', 'Verb')]","['찬', '바람', '환절기', '오니', '햇볕', '여름', '덜', '날', '위해', '영양', '듬뿍', '주어', '의미', '구매', '꼭', '영양', '바']","['불다', '맞다', '추다', '추다', '날다', '이기다', '좋다', '건강하다', '주다', '보다']","['찬', '바람', '불다', '환절기', '오니', '햇볕', '여름', '덜', '맞다', '추다', '날', '위해', '영양', '듬뿍', '주어', '추다', '날다', '이기다', '의미', '구매', '꼭', '좋다', '영양', '건강하다', '주다', '바', '보다']",찬바람이 부는 환절기가 오니 햇볕도 여름보단 덜 맞을 거니 추운 날을 위해 영양 듬뿍 주어 추운 날잘 이겨내라는 의미로 구매 꼭 좋은 영양으로 건강해 주길 바래봅니다,찬 바람 불다 환절기 오니 햇볕 여름 덜 맞다 추다 날 위해 영양 듬뿍 주어 추다 날다 이기다 의미 구매 꼭 좋다 영양 건강하다 주다 바 보다
169,꽃피우는시간,2023-02-05,3,식물영양제,부정,0.5110863357782364,coupang,"[('농약', 'Noun'), ('냄새', 'Noun'), ('편백', 'Noun'), ('향', 'Noun'), ('이라고', 'Josa'), ('적히다', 'Verb'), ('농약', 'Noun'), ('냄새', 'Noun'), ('에', 'Josa'), ('가깝다', 'Adjective'), ('않다', 'Verb'), ('싶다', 'Verb')]","['농약', '냄새', '편백', '향', '농약', '냄새']","['적히다', '가깝다', '않다', '싶다']","['농약', '냄새', '편백', '향', '적히다', '농약', '냄새', '가깝다', '않다', '싶다']",농약냄새 편백향이라고 적혀있지만 농약냄새에 가깝지 않나 싶어요,농약 냄새 편백 향 적히다 농약 냄새 가깝다 않다 싶다
170,꽃피우는시간,2023-02-05,3,식물영양제,부정,0.5098472982645035,coupang,"[('효과', 'Noun'), ('는', 'Josa'), ('아직', 'Adverb'), ('모르다', 'Verb'), ('일단', 'Noun'), ('다음', 'Noun'), ('부터', 'Josa'), ('사용', 'Noun'), ('하다', 'Verb'), ('땐', 'Noun'), ('마당', 'Noun'), ('가다', 'Verb'), ('뿌리다', 'Verb'), ('하다', 'Verb'), ('거', 'Noun'), ('같다', 'Adjective')]","['효과', '일단', '다음', '사용', '땐', '마당', '거']","['모르다', '하다', '가다', '뿌리다', '하다', '같다']","['효과', '모르다', '일단', '다음', '사용', '하다', '땐', '마당', '가다', '뿌리다', '하다', '거', '같다']",효과는 아직 모르겠지만 일단 다음부터 사용할 땐 마당 가서 뿌려야 할 거 같아요,효과 아직 모르다 일단 다음 사용 하다 땐 마당 가다 뿌리다 하다 거 같다
171,꽃피우는시간,2022-04-09,4,식물영양제,부정,0.5483831226825714,coupang,"[('아직', 'Adverb'), ('효과', 'Noun'), ('는', 'Josa'), ('모르다', 'Verb')]",['효과'],['모르다'],"['효과', '모르다']",아직 효과는 모르겠습니다,아직 효과 모르다
172,꽃피우는시간,2022-04-09,4,식물영양제,부정,0.5448462724685669,coupang,"[('3회', 'Number'), ('분무해', 'Noun'), ('보다', 'Verb')]",['분무해'],['보다'],"['분무해', '보다']",3회 분무해 봐서요,3회 분무해 보다
173,꽃피우는시간,2022-04-09,4,식물영양제,부정,0.5439426302909851,coupang,"[('그런데', 'Conjunction'), ('분무', 'Noun'), ('하다', 'Verb'), ('때', 'Noun'), ('마다', 'Josa'), ('불편하다', 'Adjective'), ('향', 'Noun'), ('이', 'Josa'), ('한동안', 'Adverb'), ('지속', 'Noun'), ('되다', 'Verb')]","['분무', '때', '향', '지속']","['하다', '불편하다', '되다']","['분무', '하다', '때', '불편하다', '향', '지속', '되다']",그런데 분무할 때마다 불편한 향이 한동안 지속됩니다,그런데 분무 하다 때 불편하다 향 한동안 지속 되다
174,꽃피우는시간,2022-04-09,4,식물영양제,부정,0.5462605565786361,coupang,"[('향', 'Noun'), ('이', 'Josa'), ('없다', 'Adjective'), ('만들다', 'Verb'), ('주다', 'Verb'), ('좋다', 'Adjective'), ('것', 'Noun'), ('을', 'Josa'), ('약', 'Modifier'), ('냄새', 'Noun'), ('가', 'Josa'), ('두렵다', 'Adjective'), ('분무', 'Noun'), ('를', 'Josa'), ('머뭇거리다', 'Verb'), ('하다', 'Verb')]","['향', '것', '냄새', '분무']","['없다', '만들다', '주다', '좋다', '두렵다', '머뭇거리다', '하다']","['향', '없다', '만들다', '주다', '좋다', '것', '냄새', '두렵다', '분무', '머뭇거리다', '하다']",향이 없으며 만들어 주셨으면 좋았을 것을 약냄새가 두려워서 분무를 머뭇거리게 합니다,향 없다 만들다 주다 좋다 것 약 냄새 두렵다 분무 머뭇거리다 하다
175,꽃피우는시간,2022-04-09,4,식물영양제,부정,0.5461653590202331,coupang,"[('실내', 'Noun'), ('아파트', 'Noun'), ('에서', 'Josa'), ('키우다', 'Verb'), ('때', 'Noun'), ('팍팍', 'Adverb'), ('뿌리다', 'Verb'), ('하다', 'Verb'), ('이렇다', 'Adjective'), ('향', 'Noun'), ('을', 'Josa'), ('없애다', 'Verb'), ('못', 'VerbPrefix'), ('하다', 'Verb'), ('재구매', 'Noun'), ('는', 'Josa'), ('없다', 'Adjective'), ('듯', 'Noun'), ('하다', 'Verb')]","['실내', '아파트', '때', '향', '재구매', '듯']","['키우다', '뿌리다', '하다', '이렇다', '없애다', '하다', '없다', '하다']","['실내', '아파트', '키우다', '때', '뿌리다', '하다', '이렇다', '향', '없애다', '하다', '재구매', '없다', '듯', '하다']",실내 아파트에서 키울 때 팍팍 뿌려주라고 하시고 이런 향을 없애지 못하시면 재구매는 없을 듯합니다,실내 아파트 키우다 때 팍팍 뿌리다 하다 이렇다 향 없애다 못 하다 재구매 없다 듯 하다
176,꽃피우는시간,2022-04-09,4,식물영양제,부정,0.5474099695682526,coupang,"[('리', 'Noun'), ('필로', 'Noun'), ('만', 'Josa'), ('2', 'Number'), ('000', 'Number'), ('밀리', 'Noun'), ('구매', 'Noun'), ('하다', 'Verb'), ('뿌리', 'Noun'), ('고', 'Josa'), ('나다', 'Verb'), ('농약', 'Noun'), ('을', 'Josa'), ('아주', 'Noun'), ('희석', 'Noun'), ('한', 'Josa'), ('냄새', 'Noun'), ('처럼', 'Josa'), ('나다', 'Verb'), ('보다', 'Verb'), ('바닥', 'Noun'), ('도', 'Josa'), ('찝찝하다', 'Adjective'), ('벽면', 'Noun'), ('도', 'Josa'), ('찝찝하다', 'Adjective'), ('것', 'Noun'), ('도', 'Josa'), ('사실', 'Noun'), ('이다', 'Adjective')]","['리', '필로', '밀리', '구매', '뿌리', '농약', '아주', '희석', '냄새', '바닥', '벽면', '것', '사실']","['하다', '나다', '나다', '보다', '찝찝하다', '찝찝하다', '이다']","['리', '필로', '밀리', '구매', '하다', '뿌리', '나다', '농약', '아주', '희석', '냄새', '나다', '보다', '바닥', '찝찝하다', '벽면', '찝찝하다', '것', '사실', '이다']",리필로만 2 000밀리 구매했는데 뿌리고 나면 농약을 아주 희석한 냄새처럼 나다보니 바닥도 찝찝하고 벽면도 찝찝한 것도 사실 입니다,리 필로 2 000 밀리 구매 하다 뿌리 나다 농약 아주 희석 냄새 나다 보다 바닥 찝찝하다 벽면 찝찝하다 것 사실 이다
